Date,600276,600900,601318,600276_Return,600900_Return,601318_Return
2017/10/31,43.1,15.91,64.36,0.033741551675339654,-0.010006337399725673,0.004672177943170652
2017/11/1,43.92,15.93,64.12,0.018846800091573357,0.0012562815722616527,-0.003735994382830121
2017/11/2,44.28,15.98,64.14,0.008163310639160759,0.0031338164161716087,0.0003118665236563345
2017/11/3,46.12,16.04,64.45,0.040713587560422315,0.0037476621002396904,0.004821535120187903
2017/11/6,48.53,16.3,64.01,0.05093546801626658,0.016079505374348546,-0.006850408231284355
2017/11/7,46.35,16.45,65.37,-0.04596087140526084,0.009160369398664159,0.021024116470726106
2017/11/8,45.17,16.43,64.61,-0.025788142345351428,-0.0012165451622041523,-0.011694240054564098
2017/11/9,45.5,16.52,66.33,0.007279176290392098,0.0054628360436552725,0.02627308596739031
2017/11/10,45.85,16.59,69.89,0.007662872745568983,0.004228336109521003,0.052280293951572965
2017/11/13,44.51,16.32,70.15,-0.029661315674710753,-0.016408754666392245,0.003713229059432166
2017/11/14,42.99,16.26,70.42,-0.03474635251957281,-0.003683245416296277,0.003841507178436565
2017/11/15,43.65,16.24,69.2,0.01523575177742087,-0.0012307693861326463,-0.01747645110328211
2017/11/16,44.79,16.3,73.01,0.025781617933597456,0.003687773079184886,0.05359555544437011
2017/11/17,43.41,16.93,75.27,-0.031295070907706446,0.03792208833232724,0.030485230978446687
2017/11/20,44.18,17.02,75.71,0.017582368680468807,0.005301927000183948,0.005828603068773752
2017/11/21,44.37,16.87,78.44,0.004291367398847168,-0.008852226587351186,0.035423749212930566
2017/11/22,44.08,17.16,77.45,-0.0065574005461592755,0.01704419750193953,-0.012701434465268058
2017/11/23,41.61,16.8,74.32,-0.057665641849808935,-0.0212022076506031,-0.04125247235729468
2017/11/24,41.82,16.85,74.62,0.005034171005637855,0.002971770389157413,0.0040284732874296125
2017/11/27,41.17,16.82,73.55,-0.01566485821867447,-0.0017820022535688373,-0.01444312074556553
2017/11/28,42.47,16.55,72.73,0.031088108543366744,-0.01618255272172986,-0.011211492880997653
2017/11/29,41.86,16.5,72.42,-0.014467227307326525,-0.003025720916537189,-0.004271449828953777
2017/11/30,41.79,16.46,69.92,-0.0016736405580295433,-0.0024271856576110196,-0.0351307729902155
2017/12/1,42.37,16.47,68.1,0.013783488178643832,0.0006073489406248633,-0.02637451819181269
2017/12/4,43.21,16.48,69.39,0.019631385305374227,0.0006069802917769707,0.018765551755990373
2017/12/5,42.56,16.89,71.2,-0.015157104910453079,0.024574206338383142,0.025750053506472526
2017/12/6,41.91,16.74,69.4,-0.015390383096408833,-0.008920665758379798,-0.02560595090517115
2017/12/7,41.32,16.6,68.64,-0.014177817685542049,-0.008398369698831232,-0.011011412333052029
2017/12/8,41.94,16.52,71.49,0.014893381222335744,-0.004830927269665608,0.04068212459905318
2017/12/11,44.5,16.52,73.25,0.059249163698420926,0.0,0.024320668118416933
2017/12/12,44.09,16.41,71.21,-0.009256189802348214,-0.006680862990832814,-0.02824498990314339
2017/12/13,44.53,16.49,72.12,0.009930119963764472,0.004863231469508289,0.012698140341083075
2017/12/14,44.64,16.47,71.01,0.002467198739444676,-0.00121359238195895,-0.015510686141114505
2017/12/15,43.3,16.4,70.38,-0.030477683064611405,-0.0042592093593958325,-0.008911580300562605
2017/12/18,43.68,16.43,70.67,0.008737696428205322,0.0018275972190240353,0.0041120228093234346
2017/12/19,44.0,16.38,73.58,0.00729930248161148,-0.003047853624253527,0.040352094973865604
2017/12/20,44.47,16.43,73.94,0.010625170604344092,0.003047853624253527,0.00488070383185768
2017/12/21,45.38,16.5,74.91,0.02025667482909066,0.004251448857357953,0.01303343945130564
2017/12/22,45.66,16.43,74.02,0.006151161749953449,-0.004251448857357953,-0.01195206600178178
2017/12/25,45.52,16.33,74.16,-0.003070851283573539,-0.006105025066803105,0.0018895942995893478
2017/12/26,45.33,16.12,73.94,-0.004182724865317677,-0.012943169903891327,-0.002970967749113207
2017/12/27,43.69,15.79,70.35,-0.036849821989413556,-0.02068390881093185,-0.04977116994808828
2017/12/28,44.5,15.82,70.59,0.01836994620885024,0.0018981340719572692,0.0034057078469826862
2017/12/29,44.22,15.59,69.98,-0.006312013742894695,-0.01464527926982262,-0.008679004467838425
2018/1/2,44.02,15.64,72.59,-0.004533099330984225,0.0032020520474800307,0.036617684357207025
2018/1/3,44.12,15.99,70.97,0.0022691182869860604,0.022131791728697614,-0.022569918759857366
2018/1/4,45.24,15.85,71.18,0.02506845686261805,-0.00879402652257344,0.0029546275451552972
2018/1/5,45.08,16.01,70.89,-0.0035429620763443026,0.010044026685334106,-0.004082500215121243
2018/1/8,45.68,15.98,70.01,0.013221876176179315,-0.001875586670494922,-0.012491290877819416
2018/1/9,47.88,16.13,71.87,0.04703731534201738,0.009342951798988697,0.026220842491245122
2018/1/10,48.01,16.17,71.72,0.0027114418530764794,0.0024767814518984466,-0.0020892827434195738
2018/1/11,47.61,16.32,72.65,-0.008366499336421196,0.00923367594694513,0.012883741279360095
2018/1/12,47.83,16.28,74.41,0.004610234485777909,-0.0024539889615664556,0.023936951392877326
2018/1/15,47.75,16.37,77.65,-0.001673990765466371,0.0055130308086490665,0.04262120818552706
2018/1/16,48.14,16.06,77.81,0.008134365428186907,-0.01911868286442786,0.002058408034142367
2018/1/17,47.14,16.12,77.34,-0.02099153484694094,0.003729028559866787,-0.006058671449688191
2018/1/18,46.67,16.07,77.61,-0.010020337546260638,-0.003106557329061399,0.0034849986868970007
2018/1/19,47.67,16.1,77.59,0.02120070925500972,0.00186509224099618,-0.0002577319601897443
2018/1/22,48.97,16.09,78.74,0.026905596497492024,-0.0006213109861255006,0.014712732609733159
2018/1/23,49.16,16.13,78.76,0.003872418983607684,0.0024829311328256054,0.0002539682553335254
2018/1/24,50.04,16.01,76.44,0.017742400900876643,-0.007467365128493775,-0.02989913439885239
2018/1/25,48.76,16.07,75.29,-0.02591238098563986,0.00374065274079749,-0.0151587955100414
2018/1/26,49.46,16.06,76.1,0.014253957480199642,-0.0006224712308053881,0.010700941005609366
2018/1/29,46.95,15.86,73.36,-0.052081056438998186,-0.012531492311913972,-0.03666943691943114
2018/1/30,47.5,15.79,73.38,0.01164650538632328,-0.004423387939151091,0.0002725909789269565
2018/1/31,48.52,15.9,75.08,0.021246373035253896,0.006942280958635472,0.022902792791172466
2018/2/1,47.58,16.16,75.48,-0.019563579201037573,0.016219943866763398,0.0053135087820415094
2018/2/2,47.62,16.18,76.01,0.0008403361839048884,0.0012368585373963015,0.006997190077599136
2018/2/5,47.03,16.29,75.71,-0.012467145101759947,0.0067755109836080685,-0.003954658462734351
2018/2/6,44.24,16.29,73.77,-0.06115633874287729,0.0,-0.0259581072190036
2018/2/7,43.39,16.27,71.38,-0.019400357403819957,-0.001228501383007341,-0.03293442683419734
2018/2/8,44.3,16.22,68.99,0.020755677240830384,-0.0030778725436797494,-0.034056151503996546
2018/2/9,43.31,15.97,64.43,-0.022601121824554316,-0.015533086460345569,-0.0683822034074657
2018/2/12,45.49,15.6,64.96,0.049108966355377426,-0.023441047971429985,0.008192332702870786
2018/2/13,45.66,15.76,67.02,0.0037301195197363413,0.010204170174241689,0.031219386455742182
2018/2/14,46.11,15.99,68.89,0.00980720511696509,0.01448844241613001,0.027519947295940206
2018/2/22,46.46,16.11,69.77,0.007561881123648639,0.007476670343020242,0.012693088346040327
2018/2/23,46.97,16.25,70.64,0.010917372696640726,0.008652711586863315,0.012392438344559942
2018/2/26,47.92,16.41,70.8,0.02002385376829041,0.009797996326252889,0.002262444403968722
2018/2/27,47.22,16.54,69.81,-0.01471542214982735,0.007890784493545855,-0.014081734717363403
2018/2/28,46.46,16.47,67.76,-0.016225804315103787,-0.004241145405996516,-0.02980521563851113
2018/3/1,47.56,16.49,68.93,0.023400344480318136,0.00121359238195895,0.017119446553761186
2018/3/2,47.29,16.75,67.68,-0.005693215166796772,0.015644121699567748,-0.018300781599592142
2018/3/5,47.74,16.84,67.88,0.009470764254899677,0.005358750543105195,0.0029507250680573804
2018/3/6,48.84,16.66,69.32,0.022780028331820024,-0.010746372075483901,0.020992024481379268
2018/3/7,48.33,16.67,68.78,-0.010497163385511321,0.0006000600240061438,-0.007820459843284944
2018/3/8,50.17,16.95,70.54,0.03736475263916894,0.016657137063756267,0.02526691980378626
2018/3/9,50.89,16.96,70.89,0.014249202104579695,0.0005897965372980707,0.0049494550590196695
2018/3/12,51.26,16.7,71.12,0.007244280335183539,-0.015448910941047611,0.0032392113387231802
2018/3/13,50.52,16.7,69.42,-0.014541423453634295,0.0,-0.024193580772008616
2018/3/14,51.22,16.7,68.82,0.013760783289088696,0.0,-0.00868061006430576
2018/3/15,53.01,16.65,70.49,0.03435049422833547,-0.0029985029962569243,0.02397645541644966
